row,col,plot
9,87,3227
9,88,3228
9,89,3229
9,90,3230
9,91,9431
9,92,9432
9,93,9433
9,94,9434
9,95,9435
9,96,9436
9,97,9437
9,98,9438
9,99,9439
9,100,9440
9,101,9441
9,102,9442
9,103,9443
9,104,9444
9,105,9445
10,1,560
10,2,559
10,3,558
10,4,557
10,5,556
10,6,555
10,7,554
10,8,553
10,9,552
10,10,551
10,11,550
10,12,549
10,13,548
10,14,547
10,15,546
10,16,845
10,17,844
10,18,843
10,19,842
10,20,841
10,21,840
10,22,839
10,23,838
10,24,837
10,25,836
10,26,835
10,27,834
10,28,833
10,29,832
10,30,831
10,31,1760
10,32,1759
10,33,1758
10,34,1757
10,35,1756
10,36,1755
10,37,1754
10,38,1753
10,39,1752
10,40,1751
10,41,1750
10,42,1749
10,43,1748
10,44,1747
10,45,1746
10,46,2045
10,47,2044
10,48,2043
10,49,2042
10,50,2041
10,51,2040
10,52,2039
10,53,2038
10,54,2037
10,55,2036
10,56,2035
10,57,2034
10,58,2033
10,59,2032
10,60,2031
10,61,2960
10,62,2959
10,63,2958
10,64,2957
10,65,2956
10,66,2955
10,67,2954
10,68,2953
10,69,2952
10,70,2951
10,71,2950
10,72,2949
10,73,2948
10,74,2947
10,75,2946
10,76,3245
10,77,3244
10,78,3243
10,79,3242
10,80,3241
10,81,3240
10,82,3239
10,83,3238
10,84,3237
10,85,3236
10,86,3235
10,87,3234
10,88,3233
10,89,3232
10,90,3231
10,91,9430
10,92,9429
10,93,9428
10,94,9427
10,95,9426
10,96,9425
10,97,9424
10,98,9423
10,99,9422
10,100,9421
10,101,9420
10,102,9419
10,103,9418
10,104,9417
10,105,9416
11,1,531
11,2,532
11,3,533
11,4,534
11,5,535
11,6,536
11,7,537
11,8,538
11,9,539
11,10,540
11,11,541
11,12,542
11,13,543
11,14,544
11,15,545
11,16,846
11,17,847
11,18,848
11,19,849
11,20,850
11,21,851
11,22,852
11,23,853
11,24,854
11,25,855
11,26,856
11,27,857
11,28,858
11,29,859
11,30,860
11,31,1731
11,32,1732
11,33,1733
11,34,1734
11,35,1735
11,36,1736
11,37,1737
11,38,1738
11,39,1739
11,40,1740
11,41,1741
11,42,1742
11,43,1743
11,44,1744
11,45,1745
11,46,2046
11,47,2047
11,48,2048
11,49,2049
11,50,2050
11,51,2051
11,52,2052
11,53,2053
11,54,2054
11,55,2055
11,56,2056
11,57,2057
11,58,2058
11,59,2059
11,60,2060
11,61,2931
11,62,2932
11,63,2933
11,64,2934
11,65,2935
11,66,2936
11,67,2937
11,68,2938
11,69,2939
11,70,2940
11,71,2941
11,72,2942
11,73,2943
11,74,2944
11,75,2945
11,76,3246
11,77,3247
11,78,3248
11,79,3249
11,80,3250
11,81,3251
11,82,3252
11,83,3253
11,84,3254
11,85,3255
11,86,3256
11,87,3257
11,88,3258
11,89,3259
11,90,3260
11,91,9401
11,92,9402
11,93,9403
11,94,9404
11,95,9405
11,96,9406
11,97,9407
11,98,9408
11,99,9409
11,100,9410
11,101,9411
11,102,9412
11,103,9413
11,104,9414
11,105,9415
12,1,530
12,2,529
12,3,528
12,4,527
12,5,526
12,6,525
12,7,524
12,8,523
12,9,522
12,10,521
12,11,520
12,12,519
12,13,518
12,14,517
12,15,516
12,16,875
12,17,874
12,18,873
12,19,872
12,20,871
12,21,870
12,22,869
12,23,868
12,24,867
12,25,866
12,26,865
12,27,864
12,28,863
12,29,862
12,30,861
12,31,1730
12,32,1729
12,33,1728
12,34,1727
12,35,1726
12,36,1725
12,37,1724
12,38,1723
12,39,1722
12,40,1721
12,41,1720
12,42,1719
12,43,1718
12,44,1717
12,45,1716
